Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	gsu00020:Citrate cycle (TCA cycle)	17	3.052064631956912	8.497463981927902E-4	FRDC, FRDB, FRDA, ICD, MDH, FUMB, PCKA, PYC, ACNB, KORC, KORB, KORD, VORA, VORB, GLTA, KORA, VORD	232	32	979	2.2417834051724137	0.06336188507503515	0.03219934132851254	0.8929034573551986
INTERPRO	IPR017896:4Fe-4S ferredoxin-type, iron-sulpur binding domain	19	3.4111310592459607	0.0010449273787151675	GSU2795, FRDB, GSU1089, SFRA, HYBA, NUOG-1, POR, IORA-1, NUOF-1, IORA-2, NUOI-1, FRX-2, HDRA, KORD, HDRC, HDRE, HDRD, VORD, ETFA	487	52	2944	2.2088137734954985	0.6288351827760574	0.21946622462267495	1.6271895258794689
UP_KEYWORDS	Cell membrane	37	6.642728904847396	0.0010821581928602878	GSU1194, GSU1908, GSU1340, SECD, NUOA-1, GSU3394, NIKO, NUOD, NUOC, NUOB, SECF, GSU3405, GSU0948, HYBT, GSU0211, GSU3393, GSU1545, NUOK-1, ATPB, ATPA, ATPD, ATPC, SFRB, SFRA, ATPF, GSU2007, ATPE, ATPH, LIVH, GSU2006, HPPA, NUOH-1, NUOI-1, LIVM, NUON-1, CBIMN, ATPX	548	137	3430	1.6904203740209922	0.15724043527556142	0.05542909668000462	1.2961180527365945
KEGG_PATHWAY	gsu01120:Microbial metabolism in diverse environments	45	8.07899461400359	0.0011288072895332894	LYSA, ENO, MAEB, FRDC, FRDB, FRDA, TPI, MDH, GSU1799, GSU1702, FUMB, APR, PCKA, PYC, ACNB, MCEE, PAAK-1, HYBS, HDRA, HDRC, HDRB, GLTA, ACKA, SFRB, SFRA, ICD, PTA, FBP, PFK-1, HYBL, DAPF, PAAK-2, POR, GSU3302, PPDK, DAPB, DAPA, KORC, KORB, KORD, VORA, GSU1578, VORB, KORA, VORD	232	125	979	1.5191379310344828	0.08329288743935814	0.028572932519732253	1.1845591948460799
KEGG_PATHWAY	gsu01100:Metabolic pathways	139	24.95511669658887	0.0011322203630652083	LYSA, GSU0867, ENO, MAEB, UPP, GSU2364, GSU1202, METK-1, GSU1799, NUOM-1, SURE, FUMB, FABI, APR, GSU1383, PCKA, NUOD, NUOC, NUOB, APT, UGE, NSPC, NUOK-1, GLTA, PURE-1, ATPB, GSU2539, ATPA, ATPD, ACKA, THIG, ATPC, NUOG-1, ATPF, PSSA, ATPE, DNAX, POR, ATPH, OTSA, THIC-2, THIC-1, NUOI-1, VORA, AROA, VORB, GATC, ATPX, VORD, PHEA, TRPB1, PURQ, PURN, PURM, BIOA, GSU1908, COBU, MDH, ISPH, BIOC, BIOB, GSU1702, BIOD, GSU0513, NUOA-1, MOAE, PYC, MOAC, TYRA, NRDJ, RMLB, RMLD, COBC, COBA, DNAN, DAPL, CMK, GALU, GSU2004, DAPF, DAPB, DAPA, BIOH, GLMU, COAD, FOLC, GSU2888, FRDC, FRDB, FRDA, TPI, GSU1242, NUOJ-1, NUOL-1, ACNB, MCEE, HEML, PURH, SFRA, PTA, HEMY, GSU1061, PURD, PFK-1, PROA, GSU3302, PURA, PROC, PYRE, NUOH-1, METC-2, METC-1, PYRD, KORC, CIMA, KORB, KORD, KORA, ILVN, ILVC, ILVD, ILVB, NUOF-1, SPEA, HDRA, PPNK, HDRC, HDRB, NUOE-1, NADA, NADD, CBIC, ICD, FBP, CBIA, PPDK, NUON-1, LPXA-2, GSU1578	232	497	979	1.1801932283355305	0.08353404511738816	0.021571523458496777	1.1881214960447473
UP_KEYWORDS	Transport	36	6.463195691202872	0.0014207216968145136	OMCB, SECD, NUOA-1, GSU3394, NIKO, NUOD, NUOC, NUOB, SECF, TUPB, GSU3405, HYBT, GSU0211, GSU3393, NUOK-1, GSU3271, ATPB, ATPA, ATPD, ATPC, FEOB-2, ATPF, GSU2007, ATPE, POR, ATPH, LIVH, GSU2006, HPPA, IORA-1, IORA-2, LIVM, NUON-1, GSU3203, CBIMN, ATPX	548	134	3430	1.6815557250245126	0.20119118072662445	0.054610634356400345	1.6984459124801399
UP_KEYWORDS	Ribosomal protein	19	3.4111310592459607	0.0018505164040602108	RPLJ, RPSA, RPMJ, RPLK, RPMG, RPMH, RPLI, RPMA, RPMB, RIMI, RPSQ, RPSR, RPSM, RPLQ, RPSK, RPLU, RPSE, RPSF, RPLS	548	56	3430	2.1236313868613137	0.25371853761659524	0.05685051751838521	2.207020934030357
KEGG_PATHWAY	gsu01200:Carbon metabolism	35	6.283662477558348	0.002144180814700028	ENO, MAEB, FRDC, FRDB, FRDA, TPI, MDH, GSU1702, FUMB, PYC, ACNB, MCEE, HDRA, HDRC, HDRB, GLTA, ACKA, SFRB, SFRA, ICD, PTA, FBP, PFK-1, POR, GSU3302, PPDK, MLEA, KORC, KORB, KORD, VORA, GSU1578, VORB, KORA, VORD	232	93	979	1.5881071560993698	0.15234297813006004	0.03251546245281067	2.239215029236785
GOTERM_BP_DIRECT	GO:0006113~fermentation	12	2.154398563734291	0.0021882825873698547	IORB-1, IORA-1, IORA-2, ACKA, KORC, KORB, VORA, VORB, POR, KORA, MTD, VORD	358	26	2078	2.6789858186506232	0.4782840893837601	0.15011821695943406	2.8806197843435077
UP_KEYWORDS	Ribonucleoprotein	19	3.4111310592459607	0.0023133721283551565	RPLJ, RPSA, RPMJ, RPLK, RPMG, RPMH, RPLI, RPMA, RPMB, RIMI, RPSQ, RPSR, RPSM, RPLQ, RPSK, RPLU, RPSE, RPSF, RPLS	548	57	3430	2.086374695863747	0.30645297479293154	0.059166761259582534	2.752017777387039
GOTERM_MF_DIRECT	GO:0016730~oxidoreductase activity, acting on iron-sulfur proteins as donors	6	1.0771992818671454	0.002518932006106412	KORC, KORB, VORA, VORB, KORA, VORD	411	7	2334	4.867570385818561	0.5605396631786054	0.23972059164231752	3.3554053102047177
GOTERM_MF_DIRECT	GO:0008137~NADH dehydrogenase (ubiquinone) activity	15	2.6929982046678633	0.0025705694136401443	NUOH-1, NUOA-1, NUOF-1, NUOD, NUOI-1, NUOC, NUOB, SFRA, NUON-1, NUOJ-1, NUOG-1, NUOM-1, NUOK-1, NUOE-1, NUOL-1	411	37	2334	2.3022292365358052	0.567894087961339	0.1892302212797078	3.4230864385281223
UP_KEYWORDS	Biotin biosynthesis	5	0.8976660682226212	0.0027979826582736045	BIOA, BIOC, BIOB, BIOD, BIOF	548	5	3430	6.259124087591241	0.3577006995967854	0.0612846462894201	3.319644390665699
UP_KEYWORDS	Ubiquinone	8	1.436265709156194	0.003106415456792238	NUOA-1, NUOH-1, NUOD, NUOI-1, NUOC, NUOB, NUON-1, NUOK-1	548	14	3430	3.5766423357664228	0.38833929888626284	0.0595973976306442	3.6793292985587978
UP_KEYWORDS	Quinone	8	1.436265709156194	0.003106415456792238	NUOA-1, NUOH-1, NUOD, NUOI-1, NUOC, NUOB, NUON-1, NUOK-1	548	14	3430	3.5766423357664228	0.38833929888626284	0.0595973976306442	3.6793292985587978
INTERPRO	IPR002880:Pyruvate flavodoxin/ferredoxin oxidoreductase, N-terminal	5	0.8976660682226212	0.0031931279338252546	IORA-1, IORA-2, VORA, POR, KORA	487	5	2944	6.04517453798768	0.9517774502105933	0.45468174786254534	4.894865923688096
UP_KEYWORDS	NAD	15	2.6929982046678633	0.00401441964872477	GIDA, NADD, MDH, DAPB, NUOA-1, NUOH-1, FABI, NUOD, NUOC, NUOI-1, NUOB, NUON-1, PYRD, PPNK, NUOK-1	548	42	3430	2.235401459854015	0.47035846572331075	0.06818148135638935	4.73110449720715
GOTERM_MF_DIRECT	GO:0051538~3 iron, 4 sulfur cluster binding	5	0.8976660682226212	0.004048061540077752	GSU2795, FRDB, HYBS, ISPH, HDRC	411	5	2334	5.678832116788321	0.7334907538323493	0.2323867613837327	5.341139249825611
UP_KEYWORDS	Ion transport	12	2.154398563734291	0.004605770629061343	ATPB, ATPA, ATPD, ATPC, FEOB-2, ATPF, CBIMN, ATPE, ATPH, GSU3271, ATPX, HPPA	548	30	3430	2.5036496350364965	0.5177982864514474	0.0703427191456163	5.410414330105073
UP_KEYWORDS	4Fe-4S	18	3.231597845601436	0.00479707341119056	NADA, SFRB, SFRA, HYBA, BIOB, NUOG-1, POR, ILVD, IORA-1, NUOF-1, IORA-2, THIC-2, THIC-1, ACNB, NUOI-1, NUOB, HYBS, GSU3265	548	56	3430	2.011861313868613	0.5322219627647007	0.06673791873927781	5.62921918513849
UP_KEYWORDS	Lyase	18	3.231597845601436	0.00479707341119056	LYSA, ENO, TRPB1, GSU1908, GSU1245, ILVD, PCKA, DAPA, METC-2, GSU1442, THIC-2, THIC-1, SPEA, ACNB, METC-1, RMLB, NSPC, CAN-2	548	56	3430	2.011861313868613	0.5322219627647007	0.06673791873927781	5.62921918513849
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	19	3.4111310592459607	0.005088380628368298	RPLJ, RPSA, RPLK, RPMG, RPLI, RPMA, RPMB, PRMA, RIMI, RPSQ, OBGE, RPSR, RPSM, RPLQ, RPSK, RPLU, RPSE, RPSF, RPLS	358	57	2078	1.9348230912476723	0.780215343190859	0.2614167160817831	6.580047532917432
UP_KEYWORDS	Oxidoreductase	27	4.847396768402154	0.005238571996941714	MDH, ISPH, NUOJ-1, ILVC, FABI, NUOA-1, APR, NUOD, NUOC, NUOB, NUOK-1, SFRB, SFRA, NUOG-1, PROA, HYBL, POR, PROC, DAPB, NUOH-1, IORA-1, IORA-2, NUOI-1, NUON-1, PYRD, GSU3265, TRXB	548	99	3430	1.7070338420703384	0.5638939996225134	0.0668187477243869	6.132418043057308
GOTERM_CC_DIRECT	GO:0005840~ribosome	8	1.436265709156194	0.0057229325258573585	RIMI, RPLJ, RPMJ, RPSA, RPMG, RPMH, RPMB, RAIA	243	16	1594	3.2798353909465026	0.2622768618984933	0.14109189193400518	5.445724226349247
UP_KEYWORDS	Iron-sulfur	21	3.7701974865350087	0.007056823820612178	NADA, HDRF, SFRB, SFRA, HYBA, ISPH, NUOG-1, BIOB, POR, ILVD, IORA-1, NUOF-1, IORA-2, THIC-2, THIC-1, ACNB, NUOI-1, NUOB, HYBS, GSU3265, NUOE-1	548	72	3430	1.8255778588807785	0.6733711841609922	0.08247147129741728	8.178950128303752
UP_KEYWORDS	Cytoplasm	55	9.874326750448834	0.007489087480193546	ENO, ACPP-2, TPI, METK-1, SURE, GSU1074, APR, PCKA, GSU0095, APT, NSPC, HEML, GIDA, THIG, GSU3209, ACKA, SFRB, SFRA, PFK-1, PROA, RECF, QUEA, PURA, PROC, RIMI, PYRD, GLYS, GLYQ, AROA, DNAA, GSU1197, PURM, GYRA, BIOA, GYRB, RBFA, BIOD, GSU0513, GSU0581, OBGE, RNHB, PPNK, DNAN, NADA, CMK, GROES, FBP, PRMA, DAPF, DAPB, GROEL, DAPA, GLMU, COAD, LPXA-2	548	248	3430	1.3881121968448316	0.6950870328956175	0.08133870093069506	8.659425235501505
GOTERM_BP_DIRECT	GO:0006189~'de novo' IMP biosynthetic process	7	1.2567324955116697	0.009024405559281148	PURE-1, PURH, PURE-2, PURQ, PURN, PURM, PURD	358	12	2078	3.3859404096834265	0.9322828312910412	0.3615653269478347	11.392624751078717
GOTERM_MF_DIRECT	GO:0042626~ATPase activity, coupled to transmembrane movement of substances	22	3.949730700179533	0.009497308886136691	GSU1341, GSU1340, NIKQ, GSU2007, LIVF, LIVG, GSU2006, LIVH, GSU0212, TUPC, NIKO, GSU3401, GSU3391, LIVM, TUPB, GSU3392, GSU0211, TUPA, GSU3393, GSU1261, LIVK-1, LIVK-2	411	72	2334	1.735198702351987	0.9554400083503767	0.4045789510825293	12.114422908510958
GOTERM_MF_DIRECT	GO:0051539~4 iron, 4 sulfur cluster binding	24	4.308797127468582	0.009614313744250182	NADA, GSU2888, GSU0204, GSU2795, SFRB, FRDB, SFRA, HYBA, NUOG-1, BIOB, POR, ILVD, IORA-1, NUOF-1, IORA-2, THIC-2, THIC-1, ACNB, NUOI-1, NUOB, HYBS, GSU3265, HDRC, GSU0871	411	81	2334	1.6826169234928356	0.9571234603556223	0.36231996739000505	12.254806235827898
GOTERM_BP_DIRECT	GO:0009102~biotin biosynthetic process	5	0.8976660682226212	0.009625009242801137	BIOA, BIOC, BIOB, BIOD, BIOF	358	6	2078	4.837057728119181	0.9434411631063055	0.336584244483247	12.106479303826356
GOTERM_BP_DIRECT	GO:0009089~lysine biosynthetic process via diaminopimelate	5	0.8976660682226212	0.009625009242801137	LYSA, DAPB, DAPA, GSU1799, DAPF	358	6	2078	4.837057728119181	0.9434411631063055	0.336584244483247	12.106479303826356
GOTERM_MF_DIRECT	GO:0030976~thiamine pyrophosphate binding	6	1.0771992818671454	0.011093989211362919	ILVB, IORA-1, IORA-2, KORB, VORB, POR	411	9	2334	3.7858880778588806	0.9736648725992918	0.36530229499214106	14.012305298704874
GOTERM_MF_DIRECT	GO:0015036~disulfide oxidoreductase activity	6	1.0771992818671454	0.011093989211362919	HDRF, HDRG, HDRA, HDRC, HDRB, HDRD	411	9	2334	3.7858880778588806	0.9736648725992918	0.36530229499214106	14.012305298704874
GOTERM_CC_DIRECT	GO:0045264~plasma membrane proton-transporting ATP synthase complex, coupling factor F(o)	4	0.718132854578097	0.01228977981509857	ATPB, ATPF, ATPE, ATPX	243	4	1594	6.559670781893005	0.4807625334586526	0.19624810953632565	11.36542089159126
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	18	3.231597845601436	0.01247117352739574	RPLJ, RPSA, RPMJ, RPLK, RPMG, RPMH, RPLI, RPMA, RPMB, RPSQ, RPSR, RPSM, RPLQ, RPSK, RPLU, RPSE, RPSF, RPLS	411	56	2334	1.8253388946819604	0.9832802856107112	0.365281752777337	15.618722684346498
GOTERM_MF_DIRECT	GO:0048038~quinone binding	8	1.436265709156194	0.01312003571162817	NUOA-1, NUOH-1, NUOD, NUOI-1, NUOC, NUOB, NUON-1, NUOK-1	411	16	2334	2.8394160583941606	0.9865050205812926	0.349844527194377	16.36591544952768
UP_KEYWORDS	Pyridoxal phosphate	12	2.154398563734291	0.013187798632917878	LYSA, METC-2, TRPB1, SPEA, METC-1, DAPL, BIOA, NSPC, GSU3260, HEML, BIOF, GNNB	548	34	3430	2.2091026191498497	0.8772411862163889	0.1304988136737022	14.781866727025584
UP_KEYWORDS	CF(0)	4	0.718132854578097	0.014226008138792512	ATPB, ATPF, ATPE, ATPX	548	4	3430	6.259124087591241	0.8960505460425172	0.13193671444295818	15.855876860678464
KEGG_PATHWAY	gsu00300:Lysine biosynthesis	7	1.2567324955116697	0.014339872842405399	LYSA, GSU2539, DAPB, DAPA, DAPL, GSU1799, DAPF	232	10	979	2.9538793103448278	0.6711532843661312	0.16919535094551985	14.13461219619203
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	36	6.463195691202872	0.017863598193827445	GSU2057, FRDB, GSU1194, GSU1908, GSU1340, NUOA-1, GSU3394, NIKO, NUOD, NUOC, NUOB, GSU3405, TUPB, GSU0948, GSU3393, GSU0211, GSU1545, ATPB, ATPA, ATPD, SFRB, SFRA, HYBB, FEOB-2, GSU1336, GSU2007, ATPE, GSU2890, ATPH, GSU2006, LIVH, NUOH-1, NUOI-1, LIVM, NUON-1, GSU2695	243	165	1594	1.4312008978675645	0.6153144940705182	0.21245304649162022	16.12659914389041
GOTERM_MF_DIRECT	GO:0000104~succinate dehydrogenase activity	4	0.718132854578097	0.018729524709014487	GSU2795, FRDB, FRDA, HDRC	411	4	2334	5.678832116788321	0.9978956082365306	0.42898453293103966	22.574720433766593
GOTERM_BP_DIRECT	GO:0006099~tricarboxylic acid cycle	7	1.2567324955116697	0.02159451173318196	ACNB, FRDB, FRDA, MDH, ICD, FUMB, GLTA	358	14	2078	2.9022346368715084	0.9984720560987201	0.555354986590724	25.269518530903223
GOTERM_BP_DIRECT	GO:0009152~purine ribonucleotide biosynthetic process	7	1.2567324955116697	0.02159451173318196	PURE-1, PURH, PURE-2, PURQ, PURN, PURD, PURA	358	14	2078	2.9022346368715084	0.9984720560987201	0.555354986590724	25.269518530903223
INTERPRO	IPR009051:Alpha-helical ferredoxin	6	1.0771992818671454	0.02334076259464796	GSU2795, SFRB, FRDB, HDRC, HDRE, HDRD	487	11	2944	3.2973679298114615	0.999999999811017	0.9760445791968991	30.96862425761502
GOTERM_CC_DIRECT	GO:0022627~cytosolic small ribosomal subunit	6	1.0771992818671454	0.02462514851958792	RPSQ, RPSR, RPSK, RPSE, RAIA, RPSF	243	12	1594	3.279835390946502	0.7332574177782485	0.23225239520111463	21.593462393398855
COG_ONTOLOGY	Amino acid transport and metabolism	11	1.9748653500897666	0.02485982731623254	GSU0511, GSU3401, GSU3391, GSU3392, AROA, GSU1105, LIVF, LIVG, LIVK-1, GSU1257, LIVK-2	88	39	652	2.08974358974359	0.3955770206792768	0.3955770206792768	17.436100819516454
UP_KEYWORDS	Decarboxylase	5	0.8976660682226212	0.026216021211834712	LYSA, PCKA, SPEA, GSU1908, NSPC	548	8	3430	3.9119525547445253	0.9849653004412628	0.21878552863588108	27.391583589260648
UP_KEYWORDS	Metal-binding	56	10.053859964093357	0.026253047190816642	ENO, TGT-2, TGT-1, METK-1, GSU1245, SURE, MTD, PCKA, ACNB, NUOB, HYBS, PPCE, RECR, ACKA, SFRB, SFRA, HYBA, NUOG-1, PURD, HYBL, PFK-1, POR, PURA, MLEA, THIC-2, THIC-1, NUOI-1, GSU1218, HDRF, OMCB, YADB, FUR, ISPH, GYRB, BIOB, BIOD, ILVC, ILVD, ILVB, NUOF-1, OBGE, SPEA, PYC, GSU3274, RUVC, RNHB, NUOE-1, NADA, ICD, FBP, GSU1996, PPDK, IORA-1, GLMU, IORA-2, GSU3265	548	270	3430	1.2981886996485537	0.9850553538418702	0.20826009367738563	27.42484098083474
GOTERM_CC_DIRECT	GO:0045262~plasma membrane proton-transporting ATP synthase complex, catalytic core F(1)	4	0.718132854578097	0.027290512814622202	ATPA, ATPD, ATPC, ATPH	243	5	1594	5.247736625514404	0.769268419225191	0.21683878120907807	23.659037263433724
GOTERM_CC_DIRECT	GO:0045261~proton-transporting ATP synthase complex, catalytic core F(1)	4	0.718132854578097	0.027290512814622202	ATPA, ATPD, ATPC, ATPH	243	5	1594	5.247736625514404	0.769268419225191	0.21683878120907807	23.659037263433724
UP_KEYWORDS	Cell inner membrane	21	3.7701974865350087	0.029628793290739405	ATPB, ATPA, ATPD, ATPC, ATPF, ATPE, ATPH, NUOH-1, NUOA-1, SECD, NIKO, NUOD, NUOC, NUOI-1, NUOB, SECF, HYBT, NUON-1, NUOK-1, CBIMN, ATPX	548	82	3430	1.6029464126758057	0.9913664694117647	0.22128536192387105	30.398968503243427
INTERPRO	IPR015422:Pyridoxal phosphate-dependent transferase, major region, subdomain 2	10	1.7953321364452424	0.030793590616094105	METC-2, METC-1, DAPL, BIOA, GSU1242, GSU1061, GSU3260, HEML, BIOF, GNNB	487	28	2944	2.158990906424171	0.9999999999998673	0.9855330872030634	38.78721969564183
UP_KEYWORDS	CF(1)	4	0.718132854578097	0.031368046359825874	ATPA, ATPD, ATPC, ATPH	548	5	3430	5.007299270072993	0.9934973694719247	0.22258224693700368	31.88727816667568
UP_KEYWORDS	Lysine biosynthesis	4	0.718132854578097	0.031368046359825874	LYSA, DAPB, DAPA, DAPF	548	5	3430	5.007299270072993	0.9934973694719247	0.22258224693700368	31.88727816667568
GOTERM_BP_DIRECT	GO:0009097~isoleucine biosynthetic process	5	0.8976660682226212	0.03368578118671656	ILVB, ILVN, CIMA, ILVC, ILVD	358	8	2078	3.627793296089385	0.9999619674108967	0.6772203025674641	36.69452700855451
KEGG_PATHWAY	gsu01210:2-Oxocarboxylic acid metabolism	11	1.9748653500897666	0.036257584223042386	ILVB, ACNB, ILVN, GSU1799, ICD, CIMA, GSU1242, GSU1061, GLTA, ILVC, ILVD	232	24	979	1.9340876436781609	0.941790355175031	0.33385203263952856	32.270354431425595
GOTERM_BP_DIRECT	GO:0009099~valine biosynthetic process	4	0.718132854578097	0.03834578835793622	ILVB, ILVN, ILVC, ILVD	358	5	2078	4.643575418994414	0.9999909505001441	0.6869148581154685	40.64880025917773
GOTERM_BP_DIRECT	GO:0009061~anaerobic respiration	6	1.0771992818671454	0.040435461144949704	FRDC, SFRB, FRDB, SFRA, FRDA, HYBB	358	12	2078	2.9022346368715084	0.9999952572040274	0.6719023414131176	42.34670071902571
UP_KEYWORDS	Pyruvate	7	1.2567324955116697	0.04129319621858722	PPDK, IORB-1, IORA-1, IORA-2, PYC, GSU1908, POR	548	17	3430	2.577286389008158	0.9987225088488317	0.271872357102534	39.83643228145426
GOTERM_BP_DIRECT	GO:0006412~translation	19	3.4111310592459607	0.04371388667928401	RPLJ, RPSA, RPMJ, RPLK, RPMG, RPMH, RPLI, RPMA, RPMB, RPSQ, RPSR, RPSM, RPLQ, RPSK, RPLU, RPSE, RPSF, RPLS, GATC	358	70	2078	1.5754988028731045	0.9999982837078317	0.6692123639741634	44.9201684023649
KEGG_PATHWAY	gsu00680:Methane metabolism	11	1.9748653500897666	0.048240935092294726	ENO, ACKA, SFRB, SFRA, MDH, PTA, HDRA, FBP, HDRC, HDRB, PFK-1	232	25	979	1.8567241379310344	0.9777883569581638	0.37866962475027177	40.64635323229212
GOTERM_BP_DIRECT	GO:0009236~cobalamin biosynthetic process	8	1.436265709156194	0.05431700210612673	CBIX, CBIC, COBU, NIKMN, COBC, CBIMN, CBIA, COBA	358	21	2078	2.21122638999734	0.9999999374197088	0.7208228857288568	52.53380186510421
INTERPRO	IPR015421:Pyridoxal phosphate-dependent transferase, major region, subdomain 1	10	1.7953321364452424	0.05705562428417343	METC-2, METC-1, DAPL, BIOA, GSU1242, GSU1061, GSU3260, HEML, BIOF, GNNB	487	31	2944	1.9500563025766708	1.0	0.9990524550443866	60.223048313779046
INTERPRO	IPR015424:Pyridoxal phosphate-dependent transferase	10	1.7953321364452424	0.05705562428417343	METC-2, METC-1, DAPL, BIOA, GSU1242, GSU1061, GSU3260, HEML, BIOF, GNNB	487	31	2944	1.9500563025766708	1.0	0.9990524550443866	60.223048313779046
INTERPRO	IPR011031:Multihaem cytochrome	19	3.4111310592459607	0.05821651873377366	OMCB, GSU2887, GSU2808, OMCX, GSU2732, GSU1996, OMCZ, GSU2643, GSU3615, OMCM, GSU2645, GSU3259, GSU2738, GSU2642, GSU1538, OMCQ, GSU0274, PPCE, OMCK	487	75	2944	1.5314442162902124	1.0	0.9981962379800761	60.98459637790672
COG_ONTOLOGY	Transcription	9	1.615798922800718	0.0593979118279965	GSU2354, GSU1345, GSU3396, GSU2941, GSU2666, GSU1072, TEX, GSU2698, GSU0514	88	33	652	2.0206611570247937	0.7061546847247578	0.45792499109879437	37.25274049278718
GOTERM_CC_DIRECT	GO:0045273~respiratory chain complex II	3	0.5385996409335727	0.061979707876177015	GSU2795, FRDB, HDRC	243	3	1594	6.559670781893004	0.9663295920996187	0.38396283851093493	46.434065495583944
UP_KEYWORDS	Iron	26	4.66786355475763	0.06470588148816574	HDRF, OMCB, ISPH, BIOB, ILVD, NUOF-1, ACNB, NUOB, HYBS, GSU3274, PPCE, NUOE-1, NADA, SFRB, SFRA, HYBA, FEOB-2, NUOG-1, GSU1996, POR, IORA-1, THIC-2, IORA-2, THIC-1, NUOI-1, GSU3265	548	116	3430	1.4029071230807952	0.9999743069224161	0.38147781906116707	55.336072858032324
